sentence,class
"@addiems Saya perhatikan orang satu ini, setau saya dia musisi atau komposer gitu ya. Tp tweet nya terus melulu ke politik. Greget mas? Ane jg greget mas. #2019gantipresiden",prabowo
"Reuni Akbar 212 Di Monas via Drone  Jika TV tdk memberitakan dahsyatnya jutaan peserta reuni akbar 212, maka kita kabarkan kepada rakyat Indonesia bahwa Reuni Akbar 212 tgl 2 Desember 2018 berlangsung Aman &amp; Damai  Video by IG ryan_fareld  #ReuniAkbar212diMonas #2019GantiPresiden https://t.co/fwQ4mQ2n2L",prabowo
"Reuni Akbar 212 Di Monas via Drone  Jika TV tdk memberitakan dahsyatnya jutaan peserta reuni akbar 212, maka kita kabarkan kepada rakyat Indonesia bahwa Reuni Akbar 212 tgl 2 Desember 2018 berlangsung Aman &amp; Damai  Video by IG ryan_fareld  #ReuniAkbar212diMonas #2019GantiPresiden https://t.co/fwQ4mQ2n2L",prabowo
Pidato dari pak @prabowo di  #ReuniAkbar212 #ReuniAkbar212diMonas  Duh malunya yang sudah nyinyirin 212 #eh emang masih punya malu ;)) #2019GantiPresiden  https://t.co/fnzCaWi6nL,prabowo
200 sekolam kalau denger lagu ini di #Reuni212diMonas bisa mendidih tempurungnya  Please jangan di retweet ðŸ˜‚ðŸ¤£ #2019GantiPresiden #PrabowoSandi #AdilMakmur https://t.co/GhgaTJJcvA,prabowo
Edisi #ReuniAkbarMujahid212 Follow berjamaah âœŒ #2019GantiPresiden  Caranya :  ðŸ”¹Follow @DoneJuan3 dan @MSApunya  ðŸ”¹RT ðŸ” / Like â¤ ðŸ”¹Tulis dikomentar #2019GantiPresiden (Follow â© Folback)  ðŸ”¹Jgn gengsi untuk #SalingFollow ðŸ”¹Cek scr berkala siapaÂ² yg komentar ðŸ‘‡ https://t.co/rXgJuuvZOY,prabowo
"20 Jamaah Tunarungu Hadiri Reuni Akbar 212 ______________________________________ Apapun Beritanya, #2019GantiPresiden #2019PrabowoSandi #SelamanyaAntiPKI ðŸ‘†ðŸ…†ðŸ„°ðŸ„¹ðŸ„¸ðŸ„±ðŸ‘† https://t.co/5eMQk2Ciug",prabowo
Polisi Puji Reuni 212 yang Berjalan Tertib #2019GantiPresiden #2019PrabowoSandi #SelamanyaAntiPKI ðŸ‘ˆ ðŸ…†ðŸ„°ðŸ„¹ðŸ„¸ðŸ„±ðŸ‘† https://t.co/PJ0lk1NGKK,prabowo
"Reuni Akbar 212 Di Monas via Drone  Jika TV tdk memberitakan dahsyatnya jutaan peserta reuni akbar 212, maka kita kabarkan kepada rakyat Indonesia bahwa Reuni Akbar 212 tgl 2 Desember 2018 berlangsung Aman &amp; Damai  Video by IG ryan_fareld  #ReuniAkbar212diMonas #2019GantiPresiden https://t.co/fwQ4mQ2n2L",prabowo
"Polisi Puji Reuni 212 yang Berjalan Tertib  Alhamdulillah, 10 jt org bs berkumpul dg tertib,rapi &amp; tetap bertata krama  Sdh terbukti setiap aksi Umat Islam slalu Damai. Stoplah kedepan framing jahat mendowngradenya  #ReuniAkbar212diMonas #2019GantiPresiden https://t.co/dnTvZ1wQ2Q",prabowo
"Jika Pilpres adalah mencari Pemimpin yg hadir bagi rakyat dr semua suku, agama, ras, golongan dgn membawa semangat persatuan, maka Pilpres telah usai hari ini. Terlalu mahal harga yg hrs dibayar bangsa ini jk rezim belah bambu ini tdk diakhiri.  #ReuniAkbar212  #2019GantiPresiden",prabowo
"Reuni 212 itu punya referensi politik, jelas kok. Apa itu? #2019GantiPresiden!",prabowo
"Reuni Akbar 212 Di Monas via Drone   Dahsyatnya jutaan peserta reuni akbar 212, maka kita kabarkan kepada rakyat Indonesia bahwa Reuni Akbar 212 tgl 2 Desember 2018 berlangsung Aman &amp; Damai  #ReuniAkbar212diMonas #2019GantiPresiden https://t.co/VfWquoLNEZ",prabowo
"Yang bilang aksi ini dibayar, silahkan buat aksi serupa yang mendatangkan jutaan peserta. Dimulai datang dari malam hari, tahajud dan subuh bersama, lalu menikmati kebersamaan sampai pukul 11.30 wib tanpa adanya sampah kotor... #2019GantiPresiden  #ReuniAkbar212diMonas https://t.co/nWBTNvi8O7",prabowo
Jaenudin naciro....di panggil tuh...mau dikasi sepeda....wkwkwk Negara ini kok gini2 amat ya punya pres... #2019GantiPresiden  #2019PrabowoSandi,prabowo
Kalau udah begini mau gimana ? #ReuniAkbar212diMonas,prabowo
"Nah loh...Ketu RT di Papua mngungkapkan tdak ad infrastruktur yg merata disana  jdi yg merata ini infrastruktur atau pencitraanya @jokowi ???  ini yg katakan orang Papua nya, ketua RT lgi  #2019GantiPresiden https://t.co/LYPvCtHRRy",prabowo
"Jika Pilpres adalah mencari Pemimpin yg hadir bagi rakyat dr semua suku, agama, ras, golongan dgn membawa semangat persatuan, maka Pilpres telah usai hari ini. Terlalu mahal harga yg hrs dibayar bangsa ini jk rezim belah bambu ini tdk diakhiri.  #ReuniAkbar212  #2019GantiPresiden",prabowo
"Kalau melihat lautan manusia yang menghadiri Reuni Akbar 212, Pilpres 2019 sudah 'berakhir' bro, kecuali ada kecurangan.  Saya menyaksikan sendiri di lapangan begitu penuh sesaknya monas.  Umat semakin di dzalimi semakin bersatu padu &amp; kuat. #Reuni212diMonas #2019GantiPresiden https://t.co/zXRsz5Eck9",prabowo
Blusukan hanya pencitraan !! #2019GantiPresiden,prabowo
10 JUTA Peserta #Reuni212diMonas  038 Follow berjamaah #2019GantiPresiden  Caranya âœ“Follow @MSApunya âœ“RT âœ“Tulis TAGAR #2019GantiPresiden dikolom komentar (KOMENT-FOLBACK) âœ“Sesama yg komentar lalu #SalingFollow âœ“Cek berkala siapaÂ² yg komentar  Berlaku15jam ditutup 3-12-18pk8 https://t.co/8pkMPfx3K8,prabowo
"Nanti pada saatnya ini akan jadi rutinitas... :-)  Viral, Prajurit Paspampres Beri Hormat Prabowo #2019GantiPresiden https://t.co/MjM4i01izI",prabowo
"Ingat lah!! Ketika itu JK pernah bilang ""Hancur negara ini kalau dipimpin Jokowi"". Kemudian Jkw merangkul JK jadi Wakilnya di Pilpres 2014, dalam rangka memukul lembut dan tak berkutik. JK akhirnya hanya menjadi kerbau ompong dalam kandang Jkw. #2019GantiPresiden https://t.co/J7kci3BqxN",prabowo
"Yang bilang aksi ini dibayar, silahkan buat aksi serupa yang mendatangkan jutaan peserta. Dimulai datang dari malam hari, tahajud dan subuh bersama, lalu menikmati kebersamaan sampai pukul 11.30 wib tanpa adanya sampah kotor... #2019GantiPresiden  #ReuniAkbar212diMonas https://t.co/nWBTNvi8O7",prabowo
"20 Jamaah Tunarungu Hadiri Reuni Akbar 212 ______________________________________ Apapun Beritanya, #2019GantiPresiden #2019PrabowoSandi #SelamanyaAntiPKI ðŸ‘†ðŸ…†ðŸ„°ðŸ„¹ðŸ„¸ðŸ„±ðŸ‘† https://t.co/TMo1kQ0qDV",prabowo
"Jutaan dari Kami saling mendoakan Inshaallah, menuju Indonesia yang lebih baik  #ReuniAkbar212diMonas #2019GantiPresiden",prabowo
"Mujahid #ReuniAkbar212diMonas menyanyikan lagu Mars Tauhid.  Ribuan Bendera Tauhid berkibar dilangit Monas sambil mengagungkan Kalimat Tauhid.  Bgtulah cara Allah menunjukan kuasanya, saat Bendera Tauhid kalian Nista 10 Juta massa berkumpul atas Ghiroh tsb.  #2019GantiPresiden https://t.co/1ItaGX5nph",prabowo
keren kan !? ..... sampai jumpa 212 2019 dgn #2019PrabowoPresiden   MERDEKA ! #2019GantiPresiden !  @fadlizon @Fahrihamzah @AHMADDHANIPRAST https://t.co/vhjavQ3Ui7,prabowo
"Mantap Jiwa!  Disambut peserta Reuni 212, @prabowo tiba di Monas!  #ReuniAkbar212 #ReuniAkbar212diMonas #2019GantiPresiden https://t.co/Lj1GwjkD1N",prabowo
"Nanti pada saatnya ini akan jadi rutinitas... :-)  Viral, Prajurit Paspampres Beri Hormat Prabowo #2019GantiPresiden https://t.co/MjM4i01izI",prabowo
"Peserta Reuni Akbar Alumni 212 Perjalanan Pulang, Walaupun Berdesak-desakan semoga berkah buat perjuangan Aksi Bela Islam  #Reuni212 #ReuniAkbar212 #ReuniAkbar212diMonas #2019GantiPresiden #PrabowoSandi #AdilMakmur https://t.co/J4QZwLmqmh",prabowo
Cebong dan gerombolannya kalo mau nandingin silahkan ya... Tapi minta ijin dulu https://t.co/sIV8kZVvQg,prabowo
@NataliusPigai2 @HendraSuhaimi Mantap pace...   #2019GantiPresiden  #ReuniAkbar212diMonas,prabowo
Polling ahhhh!!! :-) Siapa yang setuju dengan pilihan UAS? (liat gambar)  Setuju ðŸ‘‰ RT Setuju Sekali ðŸ‘‰ Like Sangat Setuju Sekali ðŸ‘‰ RT&amp;Like  #ReuniAkbar212  #2019GantiPresiden https://t.co/YYNuhwreGE,prabowo
Sederhana aja  Setuju? ---ã€‹ Retweet  Dan pemilu pilih caleg dari partai yg 5 ini...   dan  #2019GantiPresiden  #PrabowoSandi https://t.co/GtJlHF3KMZ,prabowo
Terima kasih bung @Hery80056777. Bersama kita wujudkan keadilan dan kemakmuran untuk semua golongan. https://t.co/XZkiX5Cybz,prabowo
200 sekolam kalau denger lagu ini di #Reuni212diMonas bisa mendidih tempurungnya  Please jangan di retweet ðŸ˜‚ðŸ¤£ #2019GantiPresiden #PrabowoSandi #AdilMakmur https://t.co/GhgaTJJcvA,prabowo
"Nanti pada saatnya ini akan jadi rutinitas... :-)  Viral, Prajurit Paspampres Beri Hormat Prabowo #2019GantiPresiden https://t.co/MjM4i01izI",prabowo
"Dalam #ReuniAkbar212diMonas para Mujahid menyanyikan lagu Garuda Pancasila.  Nampak Antusias Peserta sambil bernyanyi, sambil mengibarkan bendera Tauhid &amp; Merah putih.  Moga ebong bs bobo mlm ini dg nyenyak stlh framingnya anti NKRI Gagal Total.  #2019GantiPresiden #PrabowoSandi https://t.co/uP0e2BXxWk",prabowo
"Frisca Diperkosa, Diancam Ditembak dan Digorok Parang  Terduga pemerkosa itu juga wakil ketua DPC Partai HanuraÂ di kabupaten Sumba Barat  Duh... Koalisinya pakde ini byk yg g bnr, kmrn Narkoba, Uang palsu, Jual beli Jabatan, OTT KPK, dll #2019GantiPresiden https://t.co/Si98Oclfc4",prabowo
"Kalau melihat lautan manusia yang menghadiri Reuni Akbar 212, Pilpres 2019 sudah 'berakhir' bro, kecuali ada kecurangan.  Saya menyaksikan sendiri di lapangan begitu penuh sesaknya monas.  Umat semakin di dzalimi semakin bersatu padu &amp; kuat. #Reuni212diMonas #2019GantiPresiden https://t.co/zXRsz5Eck9",prabowo
Reuni ter... Terbanyak Terbesar Terpadat Terpanjang Tersejuk Terdamai Terahad Tersubuh Terindonesia Terinternasional  Minggu 2 Desember 2018 #IslamSejuk  #ReuniAkbar212diMonas #ReuniAkbar212 #alumni212 #212reuni #212KamiHadir #Monas #2019GantiPresiden https://t.co/gBjQcMoFuq,prabowo
Reuni ter... Terbanyak Terbesar Terpadat Terpanjang Tersejuk Terdamai Terahad Tersubuh Terindonesia Terinternasional  Minggu 2 Desember 2018 #IslamSejuk  #ReuniAkbar212diMonas #ReuniAkbar212 #alumni212 #212reuni #212KamiHadir #Monas #2019GantiPresiden https://t.co/gBjQcMoFuq,prabowo
"Yang bilang aksi ini dibayar, silahkan buat aksi serupa yang mendatangkan jutaan peserta. Dimulai datang dari malam hari, tahajud dan subuh bersama, lalu menikmati kebersamaan sampai pukul 11.30 wib tanpa adanya sampah kotor... #2019GantiPresiden  #ReuniAkbar212diMonas https://t.co/nWBTNvi8O7",prabowo
Retweet aja ya biar pada hangus https://t.co/HQTI1RmfEu,prabowo
